time (s),/Bin<1> (V),Expression ,Value,Value,time (s),/Bin<0> (V),/Ain<0> (V),,
2.20E-08,1.8,"average(i(""/V1/PLUS"" ?result ""tran""))*1.8",-4.81E-04,-4.81E-04,0,0,0,,
2.21E-08,1.8, , , ,3.59E-12,6.46E-02,0,1.454534172,1.8
2.21E-08,1.8, , , ,6.98E-12,1.26E-01,0,,
2.21E-08,1.8, , , ,1.37E-11,2.46E-01,0,,
2.21E-08,1.8, , , ,2.31E-11,4.17E-01,0,,
2.21E-08,1.8, , , ,2.79E-11,5.02E-01,0,,
2.21E-08,1.8, , , ,3.73E-11,6.72E-01,0,,
2.21E-08,1.8, , , ,4.41E-11,7.94E-01,0,,
2.20E-08,1.8, , , ,5.30E-11,9.53E-01,0,,
2.20E-08,1.8, , , ,5.99E-11,1.078,0,,
2.20E-08,1.8, , , ,6.82E-11,1.227,0,,
2.20E-08,1.8, , , ,7.67E-11,1.381,0,,
2.20E-08,1.8, , , ,8.77E-11,1.579,0,,
2.20E-08,1.8, , , ,9.39E-11,1.69,0,,
2.21E-08,1.8, , , ,1.00E-10,1.8,0,,
2.19E-08,1.8, , , ,1.02E-10,1.8,0,,
2.17E-08,1.8, , , ,1.05E-10,1.8,0,,
2.16E-08,1.8, , , ,1.08E-10,1.8,0,,
2.15E-08,1.8, , , ,1.13E-10,1.8,0,,
2.14E-08,1.8, , , ,1.19E-10,1.8,0,,
2.13E-08,1.8, , , ,1.25E-10,1.8,0,,
2.13E-08,1.8, , , ,1.30E-10,1.8,0,,
2.12E-08,1.8, , , ,1.37E-10,1.8,0,,
2.11E-08,1.8, , , ,1.43E-10,1.8,0,,
2.11E-08,1.8, , , ,1.52E-10,1.8,0,,
2.10E-08,1.8, , , ,1.62E-10,1.8,0,,
2.09E-08,1.8, , , ,1.76E-10,1.8,0,,
2.09E-08,1.8, , , ,1.98E-10,1.8,0,,
2.42E-08,1.8, , , ,2.13E-10,1.8,0,,
1.01E-08,1.8, , , ,2.29E-10,1.8,0,,
1.01E-08,1.8, , , ,2.44E-10,1.8,0,,
2.42E-08,1.8, , , ,2.56E-10,1.8,0,,
2.42E-08,1.8, , , ,2.68E-10,1.8,0,,
2.42E-08,1.8, , , ,2.88E-10,1.8,0,,
2.42E-08,1.8, , , ,3.04E-10,1.8,0,,
2.42E-08,1.8, , , ,3.26E-10,1.8,0,,
2.42E-08,1.8, , , ,3.38E-10,1.8,0,,
2.42E-08,1.8, , , ,3.47E-10,1.8,0,,
2.42E-08,1.8, , , ,3.57E-10,1.8,0,,
2.42E-08,1.8, , , ,3.67E-10,1.8,0,,
2.42E-08,1.8, , , ,3.78E-10,1.8,0,,
2.42E-08,1.8, , , ,3.84E-10,1.8,0,,
