Expression ,Value,time (s),/Bin<0> (V),/Ain<0> (V),/Bin<1> (V),/Ain<1> (V),,
"average(i(""/V1/PLUS"" ?result ""tran""))*1.8",-4.84E-04,0,0,0,0,0,,
 , ,3.59E-12,6.46E-02,0,0,6.46E-02,,0.954929264
 , ,6.98E-12,1.26E-01,0,0,1.26E-01,0.954929264,
 , ,1.37E-11,2.46E-01,0,0,2.46E-01,,
 , ,2.31E-11,4.16E-01,0,0,4.16E-01,,
 , ,2.79E-11,5.01E-01,0,0,5.01E-01,,
 , ,3.37E-11,6.07E-01,0,0,6.07E-01,,
 , ,3.99E-11,7.18E-01,0,0,7.18E-01,,
 , ,4.65E-11,8.37E-01,0,0,8.37E-01,,
 , ,5.31E-11,9.55E-01,0,0,9.55E-01,,
 , ,5.87E-11,1.056,0,0,1.056,,
 , ,6.73E-11,1.211,0,0,1.211,,
 , ,7.55E-11,1.359,0,0,1.359,,
 , ,8.54E-11,1.537,0,0,1.537,,
 , ,9.27E-11,1.668,0,0,1.668,,
 , ,1.00E-10,1.8,0,0,1.8,,
 , ,1.02E-10,1.8,0,0,1.8,,
 , ,1.06E-10,1.8,0,0,1.8,,
 , ,1.09E-10,1.8,0,0,1.8,,
 , ,1.13E-10,1.8,0,0,1.8,,
 , ,1.19E-10,1.8,0,0,1.8,,
 , ,1.24E-10,1.8,0,0,1.8,,
 , ,1.28E-10,1.8,0,0,1.8,,
 , ,1.34E-10,1.8,0,0,1.8,,
 , ,1.39E-10,1.8,0,0,1.8,,
 , ,1.45E-10,1.8,0,0,1.8,,
 , ,1.50E-10,1.8,0,0,1.8,,
 , ,1.57E-10,1.8,0,0,1.8,,
 , ,1.65E-10,1.8,0,0,1.8,,
 , ,1.76E-10,1.8,0,0,1.8,,
 , ,1.92E-10,1.8,0,0,1.8,,
 , ,2.14E-10,1.8,0,0,1.8,,
 , ,2.32E-10,1.8,0,0,1.8,,
 , ,2.53E-10,1.8,0,0,1.8,,
 , ,2.68E-10,1.8,0,0,1.8,,
 , ,2.85E-10,1.8,0,0,1.8,,
 , ,2.98E-10,1.8,0,0,1.8,,
 , ,3.20E-10,1.8,0,0,1.8,,
 , ,3.38E-10,1.8,0,0,1.8,,
 , ,3.48E-10,1.8,0,0,1.8,,
 , ,3.60E-10,1.8,0,0,1.8,,
 , ,3.69E-10,1.8,0,0,1.8,,
 , ,3.82E-10,1.8,0,0,1.8,,
 , ,3.91E-10,1.8,0,0,1.8,,
 , ,3.99E-10,1.8,0,0,1.8,,
 , ,4.06E-10,1.8,0,0,1.8,,
 , ,4.14E-10,1.8,0,0,1.8,,
 , ,4.23E-10,1.8,0,0,1.8,,
 , ,4.30E-10,1.8,0,0,1.8,,
 , ,4.38E-10,1.8,0,0,1.8,,
 , ,4.46E-10,1.8,0,0,1.8,,
 , ,4.56E-10,1.8,0,0,1.8,,
 , ,4.64E-10,1.8,0,0,1.8,,
 , ,4.75E-10,1.8,0,0,1.8,,
 , ,4.88E-10,1.8,0,0,1.8,,
 , ,5.04E-10,1.8,0,0,1.8,,
 , ,5.24E-10,1.8,0,0,1.8,,
 , ,5.55E-10,1.8,0,0,1.8,,
 , ,6.05E-10,1.8,0,0,1.8,,
 , ,6.74E-10,1.8,0,0,1.8,,
 , ,7.46E-10,1.8,0,0,1.8,,
 , ,8.24E-10,1.8,0,0,1.8,,
 , ,9.14E-10,1.8,0,0,1.8,,
 , ,1.03E-09,1.8,0,0,1.8,,
 , ,1.13E-09,1.8,0,0,1.8,,
 , ,1.23E-09,1.8,0,0,1.8,,
 , ,1.34E-09,1.8,0,0,1.8,,
 , ,1.43E-09,1.8,0,0,1.8,,
 , ,1.59E-09,1.8,0,0,1.8,,
 , ,1.79E-09,1.8,0,0,1.8,,
