Expression ,Value,time (s),/Bin<1> (V),/Ain<1> (V),/Ain<0> (V),/Bin<0> (V)
average(i("/V1/PLUS" ?result "tran"))*1.8,-479.9E-6,0.000,0.000,0.000,0.000,0.000
 , ,3.587E-12,0.000,64.57E-3,0.000,64.57E-3
 , ,6.983E-12,0.000,125.7E-3,0.000,125.7E-3
 , ,13.69E-12,0.000,246.3E-3,0.000,246.3E-3
 , ,23.15E-12,0.000,416.6E-3,0.000,416.6E-3
 , ,27.88E-12,0.000,501.8E-3,0.000,501.8E-3
 , ,33.72E-12,0.000,606.9E-3,0.000,606.9E-3
 , ,39.89E-12,0.000,718.1E-3,0.000,718.1E-3
 , ,46.53E-12,0.000,837.5E-3,0.000,837.5E-3
 , ,53.06E-12,0.000,955.1E-3,0.000,955.1E-3
 , ,58.67E-12,0.000,1.056,0.000,1.056
 , ,67.00E-12,0.000,1.206,0.000,1.206
 , ,75.16E-12,0.000,1.353,0.000,1.353
 , ,84.94E-12,0.000,1.529,0.000,1.529
 , ,92.47E-12,0.000,1.664,0.000,1.664
 , ,100.0E-12,0.000,1.800,0.000,1.800
 , ,102.1E-12,0.000,1.800,0.000,1.800
 , ,105.7E-12,0.000,1.800,0.000,1.800
 , ,108.9E-12,0.000,1.800,0.000,1.800
 , ,113.2E-12,0.000,1.800,0.000,1.800
 , ,119.1E-12,0.000,1.800,0.000,1.800
 , ,124.5E-12,0.000,1.800,0.000,1.800
 , ,128.4E-12,0.000,1.800,0.000,1.800
 , ,133.5E-12,0.000,1.800,0.000,1.800
 , ,138.6E-12,0.000,1.800,0.000,1.800
 , ,145.0E-12,0.000,1.800,0.000,1.800
 , ,150.4E-12,0.000,1.800,0.000,1.800
 , ,157.1E-12,0.000,1.800,0.000,1.800
 , ,165.0E-12,0.000,1.800,0.000,1.800
 , ,176.4E-12,0.000,1.800,0.000,1.800
 , ,191.6E-12,0.000,1.800,0.000,1.800
 , ,207.3E-12,0.000,1.800,0.000,1.800
 , ,224.5E-12,0.000,1.800,0.000,1.800
 , ,238.7E-12,0.000,1.800,0.000,1.800
 , ,255.4E-12,0.000,1.800,0.000,1.800
 , ,267.1E-12,0.000,1.800,0.000,1.800
 , ,278.9E-12,0.000,1.800,0.000,1.800
 , ,290.9E-12,0.000,1.800,0.000,1.800
 , ,310.4E-12,0.000,1.800,0.000,1.800
 , ,327.5E-12,0.000,1.800,0.000,1.800
 , ,339.7E-12,0.000,1.800,0.000,1.800
 , ,349.3E-12,0.000,1.800,0.000,1.800
 , ,359.4E-12,0.000,1.800,0.000,1.800
 , ,369.7E-12,0.000,1.800,0.000,1.800
 , ,381.3E-12,0.000,1.800,0.000,1.800
 , ,391.0E-12,0.000,1.800,0.000,1.800
 , ,398.2E-12,0.000,1.800,0.000,1.800
 , ,404.8E-12,0.000,1.800,0.000,1.800
 , ,412.1E-12,0.000,1.800,0.000,1.800
 , ,420.8E-12,0.000,1.800,0.000,1.800
 , ,427.1E-12,0.000,1.800,0.000,1.800
 , ,434.8E-12,0.000,1.800,0.000,1.800
 , ,441.3E-12,0.000,1.800,0.000,1.800
 , ,450.9E-12,0.000,1.800,0.000,1.800
 , ,458.4E-12,0.000,1.800,0.000,1.800
 , ,467.9E-12,0.000,1.800,0.000,1.800
 , ,479.3E-12,0.000,1.800,0.000,1.800
 , ,493.6E-12,0.000,1.800,0.000,1.800
 , ,511.1E-12,0.000,1.800,0.000,1.800
 , ,529.1E-12,0.000,1.800,0.000,1.800
 , ,545.5E-12,0.000,1.800,0.000,1.800
 , ,562.8E-12,0.000,1.800,0.000,1.800
 , ,579.8E-12,0.000,1.800,0.000,1.800
 , ,592.2E-12,0.000,1.800,0.000,1.800
