Expression ,Value,time (s),/Bin<0> (V),/Ain<0> (V),/Bin<1> (V),/Ain<1> (V)
average(i("/V1/PLUS" ?result "tran"))*1.8,-416.2E-6,0.000,0.000,0.000,0.000,0.000
 , ,3.587E-12,0.000,0.000,0.000,0.000
 , ,6.983E-12,0.000,0.000,0.000,0.000
 , ,13.69E-12,0.000,0.000,0.000,0.000
 , ,22.24E-12,0.000,0.000,0.000,0.000
 , ,27.66E-12,0.000,0.000,0.000,0.000
 , ,31.95E-12,0.000,0.000,0.000,0.000
 , ,37.78E-12,0.000,0.000,0.000,0.000
 , ,42.29E-12,0.000,0.000,0.000,0.000
 , ,45.50E-12,0.000,0.000,0.000,0.000
 , ,49.35E-12,0.000,0.000,0.000,0.000
 , ,53.09E-12,0.000,0.000,0.000,0.000
 , ,58.60E-12,0.000,0.000,0.000,0.000
 , ,64.03E-12,0.000,0.000,0.000,0.000
 , ,69.97E-12,0.000,0.000,0.000,0.000
 , ,77.78E-12,0.000,0.000,0.000,0.000
 , ,89.23E-12,0.000,0.000,0.000,0.000
 , ,94.61E-12,0.000,0.000,0.000,0.000
 , ,100.0E-12,0.000,0.000,0.000,0.000
 , ,102.0E-12,0.000,0.000,0.000,0.000
 , ,105.0E-12,0.000,0.000,0.000,0.000
 , ,107.7E-12,0.000,0.000,0.000,0.000
 , ,111.7E-12,0.000,0.000,0.000,0.000
 , ,116.5E-12,0.000,0.000,0.000,0.000
 , ,122.0E-12,0.000,0.000,0.000,0.000
 , ,126.0E-12,0.000,0.000,0.000,0.000
 , ,130.0E-12,0.000,0.000,0.000,0.000
 , ,134.4E-12,0.000,0.000,0.000,0.000
 , ,140.8E-12,0.000,0.000,0.000,0.000
 , ,146.3E-12,0.000,0.000,0.000,0.000
 , ,152.1E-12,0.000,0.000,0.000,0.000
 , ,158.8E-12,0.000,0.000,0.000,0.000
 , ,167.9E-12,0.000,0.000,0.000,0.000
 , ,179.4E-12,0.000,0.000,0.000,0.000
 , ,194.7E-12,0.000,0.000,0.000,0.000
 , ,210.8E-12,0.000,0.000,0.000,0.000
 , ,226.2E-12,0.000,0.000,0.000,0.000
 , ,242.9E-12,0.000,0.000,0.000,0.000
 , ,260.9E-12,0.000,0.000,0.000,0.000
 , ,279.2E-12,0.000,0.000,0.000,0.000
 , ,293.9E-12,0.000,0.000,0.000,0.000
 , ,309.1E-12,0.000,0.000,0.000,0.000
 , ,329.3E-12,0.000,0.000,0.000,0.000
 , ,349.3E-12,0.000,0.000,0.000,0.000
 , ,372.5E-12,0.000,0.000,0.000,0.000
 , ,382.9E-12,0.000,0.000,0.000,0.000
 , ,395.2E-12,0.000,0.000,0.000,0.000
 , ,405.2E-12,0.000,0.000,0.000,0.000
 , ,418.2E-12,0.000,0.000,0.000,0.000
 , ,427.9E-12,0.000,0.000,0.000,0.000
 , ,435.4E-12,0.000,0.000,0.000,0.000
 , ,442.8E-12,0.000,0.000,0.000,0.000
 , ,452.4E-12,0.000,0.000,0.000,0.000
 , ,460.5E-12,0.000,0.000,0.000,0.000
 , ,470.5E-12,0.000,0.000,0.000,0.000
 , ,482.2E-12,0.000,0.000,0.000,0.000
 , ,497.1E-12,0.000,0.000,0.000,0.000
 , ,515.7E-12,0.000,0.000,0.000,0.000
 , ,541.7E-12,0.000,0.000,0.000,0.000
 , ,582.1E-12,0.000,0.000,0.000,0.000
 , ,653.9E-12,0.000,0.000,0.000,0.000
 , ,722.9E-12,0.000,0.000,0.000,0.000
 , ,800.3E-12,0.000,0.000,0.000,0.000
 , ,884.5E-12,0.000,0.000,0.000,0.000
 , ,989.4E-12,0.000,0.000,0.000,0.000
 , ,1.101E-9,0.000,0.000,0.000,0.000
 , ,1.197E-9,0.000,0.000,0.000,0.000
 , ,1.289E-9,0.000,0.000,0.000,0.000
 , ,1.384E-9,0.000,0.000,0.000,0.000
 , ,1.505E-9,0.000,0.000,0.000,0.000
 , ,1.698E-9,0.000,0.000,0.000,0.000
 , ,1.849E-9,0.000,0.000,0.000,0.000
 , ,2.000E-9,0.000,0.000,0.000,0.000
 , ,2.006E-9,112.5E-3,112.5E-3,112.5E-3,112.5E-3
 , ,2.017E-9,297.2E-3,297.2E-3,297.2E-3,297.2E-3
 , ,2.024E-9,434.4E-3,434.4E-3,434.4E-3,434.4E-3
 , ,2.030E-9,535.4E-3,535.4E-3,535.4E-3,535.4E-3
 , ,2.034E-9,610.5E-3,610.5E-3,610.5E-3,610.5E-3
 , ,2.039E-9,703.5E-3,703.5E-3,703.5E-3,703.5E-3
 , ,2.044E-9,790.9E-3,790.9E-3,790.9E-3,790.9E-3
 , ,2.048E-9,859.1E-3,859.1E-3,859.1E-3,859.1E-3
 , ,2.051E-9,926.9E-3,926.9E-3,926.9E-3,926.9E-3
 , ,2.056E-9,1.012,1.012,1.012,1.012
 , ,2.062E-9,1.114,1.114,1.114,1.114
 , ,2.068E-9,1.219,1.219,1.219,1.219
 , ,2.075E-9,1.343,1.343,1.343,1.343
 , ,2.086E-9,1.544,1.544,1.544,1.544
 , ,2.093E-9,1.672,1.672,1.672,1.672
 , ,2.100E-9,1.800,1.800,1.800,1.800
 , ,2.102E-9,1.800,1.800,1.800,1.800
 , ,2.106E-9,1.800,1.800,1.800,1.800
 , ,2.109E-9,1.800,1.800,1.800,1.800
 , ,2.113E-9,1.800,1.800,1.800,1.800
 , ,2.118E-9,1.800,1.800,1.800,1.800
 , ,2.124E-9,1.800,1.800,1.800,1.800
 , ,2.128E-9,1.800,1.800,1.800,1.800
 , ,2.132E-9,1.800,1.800,1.800,1.800
 , ,2.138E-9,1.800,1.800,1.800,1.800
 , ,2.145E-9,1.800,1.800,1.800,1.800
 , ,2.152E-9,1.800,1.800,1.800,1.800
 , ,2.159E-9,1.800,1.800,1.800,1.800
 , ,2.168E-9,1.800,1.800,1.800,1.800
 , ,2.178E-9,1.800,1.800,1.800,1.800
 , ,2.187E-9,1.800,1.800,1.800,1.800
 , ,2.194E-9,1.800,1.800,1.800,1.800
 , ,2.200E-9,1.800,1.800,1.800,1.800
 , ,2.202E-9,1.800,1.800,1.800,1.800
 , ,2.206E-9,1.800,1.800,1.800,1.800
 , ,2.209E-9,1.800,1.800,1.800,1.800
 , ,2.213E-9,1.800,1.800,1.800,1.800
 , ,2.218E-9,1.800,1.800,1.800,1.800
 , ,2.224E-9,1.800,1.800,1.800,1.800
 , ,2.229E-9,1.800,1.800,1.800,1.800
 , ,2.233E-9,1.800,1.800,1.800,1.800
 , ,2.237E-9,1.800,1.800,1.800,1.800
 , ,2.242E-9,1.800,1.800,1.800,1.800
 , ,2.246E-9,1.800,1.800,1.800,1.800
 , ,2.253E-9,1.800,1.800,1.800,1.800
 , ,2.261E-9,1.800,1.800,1.800,1.800
 , ,2.270E-9,1.800,1.800,1.800,1.800
 , ,2.283E-9,1.800,1.800,1.800,1.800
 , ,2.297E-9,1.800,1.800,1.800,1.800
 , ,2.311E-9,1.800,1.800,1.800,1.800
 , ,2.327E-9,1.800,1.800,1.800,1.800
 , ,2.342E-9,1.800,1.800,1.800,1.800
 , ,2.351E-9,1.800,1.800,1.800,1.800
 , ,2.361E-9,1.800,1.800,1.800,1.800
 , ,2.368E-9,1.800,1.800,1.800,1.800
 , ,2.378E-9,1.800,1.800,1.800,1.800
 , ,2.386E-9,1.800,1.800,1.800,1.800
 , ,2.397E-9,1.800,1.800,1.800,1.800
 , ,2.409E-9,1.800,1.800,1.800,1.800
 , ,2.421E-9,1.800,1.800,1.800,1.800
 , ,2.438E-9,1.800,1.800,1.800,1.800
 , ,2.454E-9,1.800,1.800,1.800,1.800
 , ,2.468E-9,1.800,1.800,1.800,1.800
 , ,2.483E-9,1.800,1.800,1.800,1.800
 , ,2.495E-9,1.800,1.800,1.800,1.800
 , ,2.510E-9,1.800,1.800,1.800,1.800
 , ,2.528E-9,1.800,1.800,1.800,1.800
 , ,2.543E-9,1.800,1.800,1.800,1.800
